,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
2819,Teach Us,,,,EdTech,,Angel Investors,01/01/2020,Early stage,12700,-6.6,,
2820,Dealberg,,Abhishek Emmanuel,,Marketplace,Bangalore,Undisclosed,01/01/2020,,0,-6.6,,
2821,Phenom People,2010.0,Mahe Bayireddi,,Consulting,,Westbridge Capital,01/01/2020,Series C,30000000,-6.6,,
2822,Extra Edge,,Kavita Dhillon,,EdTech,Pune,"Sprout Venture Partners, Indian Angel Network",01/01/2020,Series A,700000,-6.6,,
2823,Capital Quotient,2016.0,Sousthav Chakrabarty,,Fintech,Bangalore,Undisclosed,01/01/2020,Other,600000,-6.6,,
2824,Karfa,,Kartikeya Goel,,E-commerce,Delhi,Undisclosed,01/01/2020,Early stage,25000,-6.6,,
2825,Bounce,2014.0,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni",,Automotive,Bangalore,"Accel Partners, B Capital",01/01/2020,Series D to late stage,97500000,-6.6,,
2826,Zinier,2015.0,Arka Dhar,,IT,Bangalore,Iconiq Capital,01/01/2020,Series C,90000000,-6.6,,
2827,Proeves,2016.0,"Divya Agarwal, Ketika Kapoor",,Other,Delhi,1Crowd,01/01/2020,Early stage,507000,-6.6,,
2828,Aesthetic Nutrition,2018.0,Divij Bajaj,,Food & Beverages,,Dsg Consumer Partners,01/01/2020,,0,-6.6,,
2829,Ninjacart,2015.0,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran Kk, Vasudevan Chinnathambi",,Food & Beverages,Bangalore,"Flipkart India, Singapore-Based Gec3",01/01/2020,Series C,10000000,-6.6,,
2830,Technifybiz,2017.0,"Akash Sharma, Abhishek Agarwal",,Food & Beverages,,"Omnivore, Insitor Impact Asia Fund",01/01/2020,Early stage,2000000,-6.6,,
